record_type	record_id	annotation_class	published_label	source_label	source_protocol	n_input_annotations	n_s_ldsc_matrices	n_tested_rows	n_finite_p	n_significant_168	n_warning_rows	n_error_rows	notes
annotation_provenance	GABA2	custom	GABA2	GABA2	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	Microglia	custom	Microglia	MG	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	Neuronal Stem Cells	custom	Neuronal Stem Cells	NSC	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	Oligodendrocytes	custom	Oligodendrocytes	ODC	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	Oligodendrocyte Precursor Cells	custom	Oligodendrocyte Precursor Cells	OPC	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	PI x ASC1	custom	PI x ASC1	PI_x_ASC1	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	PI x ASC2	custom	PI x ASC2	PI_x_ASC2	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	PI x Endothelial Cells	custom	PI x Endothelial Cells	PI_x_END	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	PI x exCA1	custom	PI x exCA1	PI_x_exCA1	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	PI x exCA3	custom	PI x exCA3	PI_x_exCA3	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	PI x exDG	custom	PI x exDG	PI_x_exDG	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	PI x exPFC1	custom	PI x exPFC1	PI_x_exPFC1	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	PI x exPFC2	custom	PI x exPFC2	PI_x_exPFC2	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	PI x GABA1	custom	PI x GABA1	PI_x_GABA1	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	PI x GABA2	custom	PI x GABA2	PI_x_GABA2	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	PI x Microglia	custom	PI x Microglia	PI_x_MG	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	PI x Neuronal Stem Cells	custom	PI x Neuronal Stem Cells	PI_x_NSC	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	PI x Oligodendrocytes	custom	PI x Oligodendrocytes	PI_x_ODC	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	PI x Oligodendrocyte Precursor Cells	custom	PI x Oligodendrocyte Precursor Cells	PI_x_OPC	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
