chr	start	end	valid_n	missing_pattern
1	14891511	16897729	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	16897730	18662898	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	18662899	20469148	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	20469149	21736587	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	21736588	23086882	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	23086883	23920589	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	23920590	25516844	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	25516845	27401866	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	27401867	30161880	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	30161881	32438684	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	32438685	34799757	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	34799758	37549182	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	37549183	38731846	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	38731847	40200566	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	40200567	41975326	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	41975327	43758456	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	43758457	44969182	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	44969183	46899500	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	46899501	48002575	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	48002576	48978187	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	48978188	49894176	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	49894177	51713725	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	51713726	54226261	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	54226262	56413116	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	56413117	57021727	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	57021728	58865398	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	58865399	59890408	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	59890409	61922364	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	61922365	63455088	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	63455089	65041703	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	65041704	66939403	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	66939404	68477894	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	68477895	69687615	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	69687616	71372469	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	71372470	71684404	2	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD
1	71684405	74326906	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	74326907	76728134	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	76728135	79661197	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	79661198	81354190	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	81354191	83991747	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	83991748	84844494	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	84844495	86454750	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	86454751	88128630	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	88128631	90066302	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	90066303	91886316	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	91886317	93536458	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	93536459	94506190	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	94506191	96150892	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	96150893	97885248	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	97885249	99800603	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	99800604	100826404	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	100826405	102041015	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
1	102041016	102898744	12	P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD
